Predicted,Actual
0.6110780073615466,0.7252974372
0.2200696392624828,0.0
0.71719802478341,0.5645196075
0.543523996485394,0.7865820783
0.33347646300739237,0.2976887962
0.4606495375243307,0.8418640595
0.42501262104013016,0.2951277812
0.1567529740808855,0.0
0.37314419657450043,0.0089590597
0.45560309683027966,0.0646004817
0.1511072405660485,0.204953093
0.6642900618286426,0.9067520937
0.7708759990935704,0.9501096294
0.04621688220738934,0.0
0.425942862989643,0.0891862262
0.2015306305989954,0.0606017037
0.6114625536469942,0.5322957478
0.38314627087112607,0.0
0.6927794050281714,0.9500197692
0.3740975810441761,0.6500844686
0.1861553490485202,0.1164767622
1.221310632018929,0.780884943
0.2939033213555993,0.0
0.3211262572610283,0.2259534165
0.7780893573996169,0.9619621868
0.42113771767854935,0.0061823802
0.18407911839095115,0.0203173861
0.4326160539143138,0.6274486898
0.4062256243904966,0.4040293304
0.2427264923968665,0.0
0.14425130565866914,0.035944071
0.8346744619907517,0.9716041839
0.33527595483056377,0.1000952518
0.4174935628876334,0.0909295137
0.3717675892166354,0.8617141727
0.15350793900772786,0.0
0.21333484681126152,0.4585654721
0.3019575511246088,0.1398404083
0.2633675057382312,0.0532780993
0.855369212339801,0.0939308436
0.2756006490177851,0.0
0.3988954045534472,0.4369451134
0.10049413705449078,0.220130477
0.3166422796727171,0.444852809
1.080299422072621,0.9938266058
0.23975566917368696,0.0808741598
0.7341082908040546,0.889175443
0.40485035337661146,0.7665163006
0.03947155181168596,0.0
0.21559889542953042,0.5538172603
0.2357608564059573,0.1460587326
0.017654809534506516,0.2388213939
0.5253571538565827,0.6116602566
0.7536938519393074,0.8176287696
0.27727664888783093,0.6110671795
0.17583194450753364,0.3042396032
0.16986030592665152,0.0747726538
0.13507367260739012,0.0224560584
0.3510415332413196,0.454449876
0.24025477774212822,0.9409528773
0.6694195147267812,0.9668775386
0.3775499310347366,0.3705743863
0.19829932369193815,0.3083551993
0.39924348204309906,0.8553700442
0.39321970041326504,0.4498580209
0.35367059431267445,0.1338018044
0.35086832351872327,0.4351029798
0.42672049569810255,0.4561033033
0.26529773598355766,0.1610923403
0.8741700326413686,0.8504906366
0.597426500774796,0.5522087632
0.36142072942979825,0.6373333094
0.45801700125080824,0.4251285001
0.7125497529614662,0.8676898746
0.5184292708734348,0.5667750979
0.28044844926952023,0.021251932
0.4366991418800611,0.2626163689
0.36086180875090745,0.6548919881
0.5125786296362528,0.6039322814
0.11887761380887685,0.0719151001
0.6054228097384069,0.6995075662
0.21565419975318556,0.0
0.2807282719885007,0.1581539125
0.44872044635400465,0.709491032
0.7958450123085474,0.9948150678
0.20096354091677637,0.0122479422
0.3035516910325822,0.2496046152
0.6087760013684522,0.5097408432
0.5678008898772927,0.8922935912
0.38498890703488886,0.0487221883
0.5971698162889164,0.4770586967
0.4650486063853041,0.0068024154
0.6592012042817975,0.9047571978
0.4975433045839873,0.6346554761
0.7108860637402145,0.8293465368
0.14562584562727057,0.0104597247
0.4469495297149704,0.1546224075
0.3346429517150194,0.2353617771
0.36527567019198043,0.1124420402
0.19744033152986118,0.1526634557
0.35455411460932684,0.2084666259
0.2580207641290478,0.4219025197
0.5609080337836873,0.4327216851
0.7382631229149853,0.7939416268
0.377588539323032,0.7853240358
0.41227846375459865,0.3995003774
0.4321451211001125,0.1758473815
0.4592519436570517,0.4573613457
0.6384862841222018,0.9445113404
0.5964665871843793,0.4304212645
0.1960840624933533,0.0902375903
0.047735358193085,0.0260774235
0.3347979836565767,0.0030013299
0.1719814810447038,0.0775493332
0.910066487157326,0.9431364796
0.3839116923420296,0.2747205348
0.3600826349012498,0.4324610905
0.7463419272428163,0.7398188419
0.6094619809159938,0.947854139
0.724919089052702,0.5739998562
1.07603886640368,0.9717839042
0.34001729579345485,0.1111210956
0.6646078277781846,0.5323406779
-0.007452420743727317,0.0659304123
0.47081614115333836,0.7843176018
0.39366735030605027,0.3527640991
0.31680949816189274,0.015204342
0.6281648482283366,0.9732126811
0.7642991379600484,0.9956327954
0.33410101778313694,0.4009201682
0.4450386366716155,0.8469681176
0.27742785738913495,0.0424589339
0.5432868576716684,0.8550285755
0.1967747699806362,0.1777524172
0.7140780229628876,0.9136533554
0.9773313129126532,0.9728891844
0.36142018687430966,0.2816667266
0.303145303943879,0.672585457
0.8671819250787235,0.9327486431
0.21831901300927198,0.3786797743
0.23623093205718548,0.0041515402
0.41416848435394893,0.030857985
0.5342796828201349,0.4661946012
-0.022461765744093393,0.0
0.666275792353574,0.8988443981
0.2750204390748888,0.4620161029
0.5036567962243182,0.4781190468
0.7623973796798038,0.9444753963
