TIMESTAMP,POWER
20131101 1:00,0.3662472729120267
20131101 2:00,0.3726345845285452
20131101 3:00,0.3734421295677686
20131101 4:00,0.3668653733048148
20131101 5:00,0.38286477784903167
20131101 6:00,0.38609035538598674
20131101 7:00,0.34265641373546296
20131101 8:00,0.19317747508861982
20131101 9:00,0.10633012530379132
20131101 10:00,0.03226419775990236
20131101 11:00,0.044044870348790705
20131101 12:00,0.03139713292645363
20131101 13:00,0.03146640239783577
20131101 14:00,0.03324160251584407
20131101 15:00,0.03103811932343281
20131101 16:00,0.030982412941188253
20131101 17:00,0.034345777360096974
20131101 18:00,0.05082952246087197
20131101 19:00,0.03195462756486528
20131101 20:00,0.03237607478082388
20131101 21:00,0.04201423824543862
20131101 22:00,0.03785406018522264
20131101 23:00,0.08143662415523684
20131102 0:00,0.15723289812567792
20131102 1:00,0.4510028134397391
20131102 2:00,0.5093247406795216
20131102 3:00,0.5821058130103816
20131102 4:00,0.6585178178697468
20131102 5:00,0.6870896536897884
20131102 6:00,0.6417082909195342
20131102 7:00,0.577627548970014
20131102 8:00,0.5481912817706331
20131102 9:00,0.5513878691377907
20131102 10:00,0.4943513101445354
20131102 11:00,0.4349477658685434
20131102 12:00,0.339841244277247
20131102 13:00,0.500276832714982
20131102 14:00,0.6106057828080809
20131102 15:00,0.32570972577844504
20131102 16:00,0.38714215602839225
20131102 17:00,0.5127666249143348
20131102 18:00,0.5718058122118141
20131102 19:00,0.5045877211464187
20131102 20:00,0.4158892946868608
20131102 21:00,0.4654545414712275
20131102 22:00,0.5552568067982868
20131102 23:00,0.546258146103376
20131103 0:00,0.5348199463585219
20131103 1:00,0.46962104812600475
20131103 2:00,0.4813109711283989
20131103 3:00,0.629195276047271
20131103 4:00,0.6620655413260719
20131103 5:00,0.6405958118361257
20131103 6:00,0.6394888346021297
20131103 7:00,0.6364521940975949
20131103 8:00,0.6322273871651098
20131103 9:00,0.563535295137062
20131103 10:00,0.48549425009964325
20131103 11:00,0.4077681047504009
20131103 12:00,0.5698936347432224
20131103 13:00,0.586281162236802
20131103 14:00,0.6280674853009272
20131103 15:00,0.6820711831873627
20131103 16:00,0.7211168824688623
20131103 17:00,0.7468710772162312
20131103 18:00,0.7661897251027208
20131103 19:00,0.7783105960393699
20131103 20:00,0.7917282120615432
20131103 21:00,0.8167977655517416
20131103 22:00,0.8372312948060914
20131103 23:00,0.8187313298046535
20131104 0:00,0.7484983849020601
20131104 1:00,0.7043809913649735
20131104 2:00,0.6188146204698708
20131104 3:00,0.5417903094935643
20131104 4:00,0.45425920309980666
20131104 5:00,0.4088925393771003
20131104 6:00,0.3988127681063926
20131104 7:00,0.4010216261180583
20131104 8:00,0.418387978172223
20131104 9:00,0.29269298898983487
20131104 10:00,0.34639563126817496
20131104 11:00,0.42637011849219436
20131104 12:00,0.47783888355329
20131104 13:00,0.5148272304119168
20131104 14:00,0.547257636301919
20131104 15:00,0.5714487166246895
20131104 16:00,0.6121347990882506
20131104 17:00,0.6471085958104199
20131104 18:00,0.6364294116465536
20131104 19:00,0.6080895085018507
20131104 20:00,0.5885292633964563
20131104 21:00,0.6640182385301807
20131104 22:00,0.724891307152753
20131104 23:00,0.7414206535842074
20131105 0:00,0.6543685444011611
20131105 1:00,0.4568428603083203
20131105 2:00,0.3366455939546951
20131105 3:00,0.23284653454331844
20131105 4:00,0.16090679772825922
20131105 5:00,0.10553733676659643
20131105 6:00,0.06236850310001735
20131105 7:00,0.04957481434250499
20131105 8:00,0.11645511964444122
20131105 9:00,0.22346488379435953
20131105 10:00,0.33218558887057936
20131105 11:00,0.3231896103079323
20131105 12:00,0.3125890021897786
20131105 13:00,0.32001558729256335
20131105 14:00,0.3263899074646107
20131105 15:00,0.3279331723478885
20131105 16:00,0.30110386099994163
20131105 17:00,0.2835284589605304
20131105 18:00,0.29831254964919757
20131105 19:00,0.321695071398482
20131105 20:00,0.3372428676353309
20131105 21:00,0.43196503166558936
20131105 22:00,0.44747651084886847
20131105 23:00,0.5144901969850753
20131106 0:00,0.5119199597121473
20131106 1:00,0.396396478126155
20131106 2:00,0.3071248593991868
20131106 3:00,0.23846913634732048
20131106 4:00,0.21522164596329657
20131106 5:00,0.21741018208880208
20131106 6:00,0.21104139238680103
20131106 7:00,0.19537527951462097
20131106 8:00,0.11278767864880701
20131106 9:00,0.11342288201084605
20131106 10:00,0.08058569871076701
20131106 11:00,0.2374298838817917
20131106 12:00,0.20967154572493873
20131106 13:00,0.3863027737864388
20131106 14:00,0.48663698212818923
20131106 15:00,0.5309600837078983
20131106 16:00,0.4968883588920005
20131106 17:00,0.3636769835054234
20131106 18:00,0.19460886289553853
20131106 19:00,0.13739315903037275
20131106 20:00,0.16099927114081797
20131106 21:00,0.238669075465046
20131106 22:00,0.08913542463789728
20131106 23:00,0.061951839577935874
20131107 0:00,0.21659275713621168
20131107 1:00,0.36138371937268504
20131107 2:00,0.4434324778861238
20131107 3:00,0.3373381888075855
20131107 4:00,0.4159349412387872
20131107 5:00,0.5171878658443596
20131107 6:00,0.6352333241756638
20131107 7:00,0.8135361859416104
20131107 8:00,0.7479353565653986
20131107 9:00,0.42972328146360933
20131107 10:00,0.0730310071600026
20131107 11:00,0.015993380627231435
20131107 12:00,0.37019276954311636
20131107 13:00,0.4091645848128476
20131107 14:00,0.4481905201466901
20131107 15:00,0.20926425085327327
20131107 16:00,0.6095339407765481
20131107 17:00,0.6790486130039144
20131107 18:00,0.7239221678693362
20131107 19:00,0.6810319982631383
20131107 20:00,0.7097961554336267
20131107 21:00,0.7046862997166428
20131107 22:00,0.7740198455796736
20131107 23:00,0.8109782927157789
20131108 0:00,0.8242824434338292
20131108 1:00,0.8151401929770337
20131108 2:00,0.8139942859912961
20131108 3:00,0.815155780755562
20131108 4:00,0.8285289639559987
20131108 5:00,0.8314208240786212
20131108 6:00,0.8051407803411459
20131108 7:00,0.7724281921201841
20131108 8:00,0.7265358243264965
20131108 9:00,0.6444891888711897
20131108 10:00,0.5504007290165147
20131108 11:00,0.4672062799326953
20131108 12:00,0.40265264286655383
20131108 13:00,0.3606176191401986
20131108 14:00,0.333911444207667
20131108 15:00,0.23418972134632482
